"brand","shop","@lat","@lon"
"ВкусВилл","convenience","55.8608085","37.5033458"
"Пятёрочка","supermarket","55.6731428","37.7504552"
"Пятёрочка","supermarket","55.7163931","37.4584862"
"Пятёрочка","supermarket","55.7190211","37.4613559"
"Спортмастер","sports","55.7270007","37.4716130"
"Перекресток","supermarket","55.7263419","37.4671607"
"Перекресток","supermarket","55.6128345","37.7194123"
"Пятёрочка","supermarket","55.6134288","37.7060098"
"ВкусВилл","convenience","55.8674062","37.5310388"
"Пятёрочка","supermarket","55.6102182","37.7294002"
"Пятёрочка","supermarket","55.6420491","37.5427985"
"ВкусВилл","convenience","55.7542433","37.7153975"
"Пятёрочка","supermarket","55.7534009","37.7124257"
"Магнолия","convenience","55.8170382","37.5692477"
"Пятёрочка","supermarket","55.6057196","37.7172733"
"Пятёрочка","supermarket","55.6044356","37.7078201"
"Пятёрочка","supermarket","55.6674264","37.4948101"
"Перекресток","supermarket","55.6643420","37.4697301"
"Виктория","supermarket","55.6703642","37.4772739"
"Азбука Вкуса","supermarket","55.6458669","37.4860931"
"Пятёрочка","supermarket","55.6463514","37.4777606"
"М.Видео","electronics","55.6110343","37.7243807"
"Billa","supermarket","55.6099466","37.7278086"
"Пятёрочка","convenience","55.6976881","37.7857738"
"Перекресток","supermarket","55.7800347","37.6018898"
"Пятёрочка","supermarket","55.6838684","37.8532327"
"Пятёрочка","supermarket","55.6686622","37.5916960"
"Перекресток","supermarket","55.8898751","37.3883849"
"Перекрёсток","supermarket","55.7318321","37.6636920"
"Перекресток","supermarket","55.6273874","37.6160272"
"Перекресток","supermarket","55.6335584","37.4385600"
"Перекрёсток","supermarket","55.6074174","37.7338382"
"Billa","supermarket","55.8824166","37.6855015"
"Дикси","supermarket","55.8773927","37.6820999"
"М.Видео","electronics","55.7045270","37.7658167"
"Спортмастер","sports","55.7056285","37.7592458"
"Дикси","supermarket","55.7370723","37.8658294"
"Перекрёсток","supermarket","55.7342108","37.8567176"
"Перекрёсток","supermarket","55.7469169","37.8623048"
"Пятёрочка","supermarket","55.6408932","37.3560899"
"Пятёрочка","supermarket","55.6398414","37.3542822"
"Пятёрочка","supermarket","55.6403363","37.3505608"
"Перекресток","supermarket","55.7389593","37.4848134"
"Пятёрочка","supermarket","55.7347939","37.4742625"
"Fix price","variety_store","55.7358521","37.4799247"
"Nissan","car","55.6535579","37.6363899"
"Перекресток","supermarket","55.6454812","37.5213375"
"Ашан Сити","supermarket","55.6408941","37.5307188"
"Billa","supermarket","55.7097983","37.7444838"
"Пятёрочка","supermarket","55.7205750","37.7383058"
"Перекресток","supermarket","55.8853539","37.6021477"
"Перекресток","supermarket","55.8837800","37.6063764"
"Пятёрочка","supermarket","55.8827121","37.5876315"
"Линзмастер","optician","55.6334124","37.6239932"
"Пятёрочка","supermarket","55.6126513","37.6975030"
"Дикси","supermarket","55.6126189","37.6967955"
"Пятёрочка","supermarket","55.6225327","37.7051211"
"Пятёрочка","supermarket","55.6150060","37.7123799"
"ВкусВилл","convenience","55.6090086","37.7104650"
"Перекресток","supermarket","55.7525720","37.8192600"
"Дикси","supermarket","55.6677380","37.5248306"
"Перекресток","supermarket","55.6558246","37.5412153"
"Перекресток","supermarket","55.6099600","37.5364382"
"Пятёрочка","supermarket","55.6298827","37.6014885"
"Дикси","supermarket","55.6287806","37.5996532"
"Eurospar","supermarket","55.6229915","37.6015325"
"ВкусВилл","convenience","55.7178847","37.5130798"
"М.Видео","electronics","55.6528817","37.6174291"
"Перекресток","supermarket","55.6713145","37.5542509"
"Пятёрочка","supermarket","55.6625809","37.5300532"
"Ароматный мир","alcohol","55.6396836","37.6072060"
"Пятёрочка","supermarket","55.6415505","37.4858575"
"Пятёрочка","supermarket","55.7375358","37.4702232"
"Дикси","supermarket","55.6194430","37.5009478"
"Магнит","supermarket","55.6233711","37.8473617"
"Перекресток","supermarket","55.7293338","37.6217697"
"Перекрёсток","supermarket","55.6100504","37.7202365"
"Читай-город","books","55.8509406","37.3547289"
"Пятёрочка","supermarket","55.8698179","37.6810968"
"Пятёрочка","supermarket","55.6886126","37.7265419"
"Пятёрочка","supermarket","55.6465508","37.7153029"
"Перекресток","supermarket","55.6798157","37.8893435"
"Магнит","supermarket","55.6677574","37.8775465"
"Смешные цены","clothes","55.6728477","37.8734703"
"Дикси","supermarket","55.8749057","37.6655695"
"Пятёрочка","supermarket","55.6385546","37.3580659"
"Ашан Сити","supermarket","55.6926507","37.5279320"
"Ашан Сити","supermarket","55.6868310","37.6036132"
"М.Видео","electronics","55.6896855","37.6031267"
"Лента","supermarket","55.6892116","37.6011474"
"Adidas","sports","55.7574968","37.6587111"
"Перекрёсток","supermarket","55.6960789","37.6651207"
"Перекресток","supermarket","55.6393697","37.3413661"
"Пятёрочка","supermarket","55.6438643","37.3484592"
"Дикси","supermarket","55.6447340","37.3501465"
"Billa","supermarket","55.6394983","37.3614074"
"Магнит","convenience","55.7075493","37.5761718"
"Перекрёсток","supermarket","55.7044422","37.7660563"
"Дикси","supermarket","55.6357251","37.7941436"
"Пятёрочка","supermarket","55.6360594","37.7940063"
"Эльдорадо","electronics","55.6796366","37.8897813"
"Перекресток","supermarket","55.5825435","37.6710901"
"Перекрёсток","supermarket","55.6993453","37.7410699"
"Азбука Вкуса","supermarket","55.7307293","37.6312229"
"Перекресток","supermarket","55.7191490","37.7788044"
"Billa","supermarket","55.7948593","37.7759094"
"Красное&Белое","alcohol","55.7952172","37.7771663"
"Магнит","supermarket","55.6814799","37.2899720"
"Ашан","supermarket","55.7859913","37.6654843"
"Billa","supermarket","55.8178844","37.3110048"
"Пятёрочка","supermarket","55.8174025","37.3101129"
"Пятёрочка","supermarket","55.8162621","37.3154773"
"Пятёрочка","supermarket","55.8148675","37.3236924"
"Пятёрочка","supermarket","55.8050529","37.3998815"
"Азбука Вкуса","supermarket","55.7766082","37.5331486"
"М.Видео","electronics","55.7863933","37.6786010"
"Дикси","supermarket","55.8496625","37.6583953"
"МясновЪ","convenience","55.8673053","37.6771351"
"Billa","supermarket","55.8168678","37.4033921"
"Магнит","supermarket","55.8398018","37.5274631"
"Дикси","supermarket","55.8410548","37.5366147"
"Billa","supermarket","55.8373377","37.5369086"
"Дикси","supermarket","55.6960497","37.8050172"
"Пятёрочка","supermarket","55.7282283","37.7639725"
"Дикси","supermarket","55.7298124","37.7609692"
"Пятёрочка","supermarket","55.7209808","37.7858921"
"Перекресток","supermarket","55.6286107","37.7396306"
"Магнит","supermarket","55.6222594","37.7398944"
"Перекресток","supermarket","55.6195550","37.7522272"
"Магнит","supermarket","55.6876881","37.8905249"
